class,start_frame,stop_frame,video_id,point
Billiards,2025.0,2277.0,video_validation_0000051,2067.01068
Billiards,2577.0,2718.0,video_validation_0000051,2625.99555
Billiards,4179.0,4446.0,video_validation_0000051,4335.13428
Billiards,729.0,744.0,video_validation_0000052,737.12898
Billiards,273.0,414.0,video_validation_0000053,309.16008
Billiards,672.0,744.0,video_validation_0000053,686.50443
Billiards,1029.0,1203.0,video_validation_0000053,1029.78372
Billiards,1491.0,1590.0,video_validation_0000053,1533.07089
Billiards,1908.0,2055.0,video_validation_0000053,1923.7271400000002
Billiards,2238.0,2418.0,video_validation_0000053,2253.46377
Billiards,2655.0,2721.0,video_validation_0000053,2680.90341
Billiards,2901.0,2976.0,video_validation_0000053,2928.2519399999996
Billiards,3381.0,3414.0,video_validation_0000053,3389.22108
Billiards,3735.0,3900.0,video_validation_0000053,3740.67765
Billiards,4152.0,4380.0,video_validation_0000053,4170.171719999999
Billiards,4584.0,4683.0,video_validation_0000053,4633.93173
Billiards,4917.0,4992.0,video_validation_0000053,4944.2232300000005
Billiards,5277.0,5430.0,video_validation_0000053,5282.39613
Billiards,5664.0,5814.0,video_validation_0000053,5758.36164
Billiards,3807.0,3828.0,video_validation_0000054,3811.19367
Billiards,615.0,768.0,video_validation_0000055,629.1554699999999
Billiards,1404.0,1548.0,video_validation_0000055,1424.3670900000002
Billiards,1758.0,2031.0,video_validation_0000055,1798.31637
Billiards,2187.0,2316.0,video_validation_0000055,2202.61692
Billiards,2568.0,2727.0,video_validation_0000055,2578.13631
Billiards,2853.0,2988.0,video_validation_0000055,2893.9891199999997
Billiards,3126.0,3252.0,video_validation_0000055,3219.61407
Billiards,3504.0,3651.0,video_validation_0000055,3522.18393
Billiards,3822.0,3993.0,video_validation_0000055,3893.0530200000003
Billiards,522.0,729.0,video_validation_0000056,599.27211
Billiards,822.0,1062.0,video_validation_0000056,851.77164
Billiards,1515.0,1581.0,video_validation_0000056,1533.32316
Billiards,1803.0,1878.0,video_validation_0000056,1832.97876
Billiards,2163.0,2187.0,video_validation_0000056,2186.09793
Billiards,2550.0,2580.0,video_validation_0000056,2561.4690299999997
Billiards,2742.0,2844.0,video_validation_0000056,2748.86892
Billiards,3054.0,3204.0,video_validation_0000056,3064.16571
Billiards,3624.0,3705.0,video_validation_0000056,3647.54856
Billiards,3747.0,3801.0,video_validation_0000056,3754.87965
Billiards,3935.9999999999995,3954.0000000000005,video_validation_0000056,3945.2868299999996
Billiards,282.0,351.0,video_validation_0000057,295.67529
Billiards,1311.0,1428.0,video_validation_0000057,1327.0709100000001
Billiards,2103.0,2211.0,video_validation_0000057,2149.2375
Billiards,2412.0,2499.0,video_validation_0000057,2439.51171
Billiards,2745.0,2904.0,video_validation_0000057,2753.1999
Billiards,3144.0,3213.0,video_validation_0000057,3147.38652
Billiards,3381.0,3528.0,video_validation_0000057,3388.7358600000002
Billiards,4209.0,4272.0,video_validation_0000057,4220.85573
Billiards,4452.0,4503.0,video_validation_0000057,4468.19325
Billiards,4791.0,4899.0,video_validation_0000057,4808.6268
Billiards,5574.0,5670.0,video_validation_0000057,5574.89484
Billiards,5895.0,6057.0,video_validation_0000057,5926.3573799999995
Billiards,6474.0,6624.0,video_validation_0000057,6499.57596
Billiards,327.0,348.0,video_validation_0000058,344.72277
Billiards,2487.0,2529.0,video_validation_0000058,2508.72042
Billiards,3426.0,3477.0,video_validation_0000058,3448.5028500000003
Billiards,3711.0,3786.0,video_validation_0000058,3726.73164
Billiards,147.0,201.0,video_validation_0000059,158.17971
Billiards,768.0,816.0,video_validation_0000059,787.1989500000001
Billiards,1278.0,1329.0,video_validation_0000059,1298.15115
Billiards,2055.0,2109.0,video_validation_0000059,2062.31499
Billiards,2484.0,2532.0,video_validation_0000059,2493.03195
Billiards,2724.0,2739.0,video_validation_0000059,2751.8662200000003
Billiards,3126.0,3144.0,video_validation_0000059,3139.94223
Billiards,3363.0,3390.0,video_validation_0000059,3382.0983
Billiards,3690.0,3741.0,video_validation_0000059,3699.3337500000002
Billiards,3978.0,4020.0,video_validation_0000059,3983.9252399999996
Billiards,4365.0,4392.0,video_validation_0000059,4377.91098
Billiards,5118.0,5160.0,video_validation_0000059,5138.11521
Billiards,5499.0,5514.0,video_validation_0000059,5511.34923
Billiards,6021.0,6135.0,video_validation_0000059,6012.45795
Billiards,6402.0,6450.0,video_validation_0000059,6418.07289
Billiards,717.0,936.0,video_validation_0000060,772.6071599999999
Billiards,1506.0,1698.0,video_validation_0000060,1543.13061
Billiards,1803.0,1905.0,video_validation_0000060,1848.7763100000002
Billiards,2211.0,2301.0,video_validation_0000060,2234.2907999999998
Billiards,3030.0,3150.0,video_validation_0000060,3052.8599099999997
Billiards,3696.0,3837.0,video_validation_0000060,3737.10504
Billiards,4005.0,4092.0,video_validation_0000060,4032.50451
Billiards,4248.0,4359.0,video_validation_0000060,4291.575599999999
Billiards,4476.0,4563.0,video_validation_0000060,4511.68377
CleanAndJerk,306.0,687.0,video_validation_0000151,319.63956
CleanAndJerk,384.0,852.0,video_validation_0000152,454.18941
CleanAndJerk,1680.0,1878.0,video_validation_0000152,1707.80355
CleanAndJerk,2943.0,3744.0,video_validation_0000152,3008.43009
CleanAndJerk,129.0,327.0,video_validation_0000153,193.64840999999998
CleanAndJerk,489.0,633.0,video_validation_0000153,533.57136
CleanAndJerk,855.0,1104.0,video_validation_0000153,912.8222999999999
CleanAndJerk,1686.0,2190.0,video_validation_0000153,1747.67985
CleanAndJerk,2571.0,3030.0,video_validation_0000153,2614.59135
CleanAndJerk,3642.0,4248.0,video_validation_0000153,3704.21256
CleanAndJerk,162.0,348.0,video_validation_0000154,182.8347
CleanAndJerk,390.0,591.0,video_validation_0000154,419.41938
CleanAndJerk,642.0,879.0,video_validation_0000154,650.97822
CleanAndJerk,1068.0,1356.0,video_validation_0000155,1093.87068
CleanAndJerk,105.0,321.0,video_validation_0000156,141.01578
CleanAndJerk,585.0,816.0,video_validation_0000156,615.72954
CleanAndJerk,3504.0,3645.0,video_validation_0000156,3571.1160299999997
CleanAndJerk,3816.0,4002.0,video_validation_0000156,3857.74203
CleanAndJerk,4347.0,4542.0,video_validation_0000156,4372.66542
CleanAndJerk,4944.0,5217.0,video_validation_0000156,4973.326260000001
CleanAndJerk,5541.0,5787.0,video_validation_0000156,5555.924999999999
CleanAndJerk,6783.0,7038.0,video_validation_0000156,6827.9586
CleanAndJerk,9.0,288.0,video_validation_0000157,44.51343
CleanAndJerk,321.0,1488.0,video_validation_0000157,369.5544
CleanAndJerk,117.0,483.00000000000006,video_validation_0000158,132.38414999999998
CleanAndJerk,732.0,1038.0,video_validation_0000158,770.55867
CleanAndJerk,1410.0,4953.0,video_validation_0000158,1932.02622
CleanAndJerk,6456.0,6729.0,video_validation_0000158,6472.276199999999
CleanAndJerk,7074.0,7326.0,video_validation_0000158,7094.28366
CleanAndJerk,7470.0,7764.0,video_validation_0000158,7488.34608
CleanAndJerk,7881.0,8184.0,video_validation_0000158,7932.28203
CleanAndJerk,1056.0,1548.0,video_validation_0000159,1354.12434
CleanAndJerk,2964.0,3696.0,video_validation_0000159,3290.6556600000004
CleanAndJerk,4014.0000000000005,4089.0000000000005,video_validation_0000159,4016.40105
CleanAndJerk,6909.0,7383.0,video_validation_0000159,7054.68981
CleanAndJerk,7995.0,8220.0,video_validation_0000159,8030.13255
CleanAndJerk,11046.0,11658.0,video_validation_0000159,11098.51491
CleanAndJerk,12006.0,12348.0,video_validation_0000159,12027.167459999999
CleanAndJerk,1389.0,2019.0,video_validation_0000160,1426.1951999999999
CleanAndJerk,2847.0,3255.0,video_validation_0000160,2855.04219
CleanAndJerk,7134.0,7656.0,video_validation_0000160,7171.27356
CleanAndJerk,9036.0,9588.0,video_validation_0000160,9109.85499
CliffDiving,339.0,423.0,video_validation_0000161,380.6709
Diving,339.0,423.0,video_validation_0000161,408.88791000000003
CliffDiving,630.0,717.0,video_validation_0000161,644.20623
Diving,630.0,717.0,video_validation_0000161,705.5349
CliffDiving,792.0,882.0,video_validation_0000161,806.42892
Diving,792.0,882.0,video_validation_0000161,855.07722
CliffDiving,1527.0,1662.0,video_validation_0000161,1589.27241
Diving,1527.0,1662.0,video_validation_0000161,1625.85693
CliffDiving,0.0,84.0,video_validation_0000162,13.491389999999999
Diving,0.0,84.0,video_validation_0000162,32.07297
CliffDiving,321.0,357.0,video_validation_0000162,337.52679
Diving,321.0,357.0,video_validation_0000162,345.81792
CliffDiving,1194.0,1293.0,video_validation_0000162,1191.9837
Diving,1194.0,1293.0,video_validation_0000162,1214.7968099999998
CliffDiving,2016.0,2100.0,video_validation_0000162,2023.2687
Diving,2016.0,2100.0,video_validation_0000162,2043.5498400000001
CliffDiving,2373.0,2469.0,video_validation_0000162,2390.63913
Diving,2373.0,2469.0,video_validation_0000162,2406.98157
CliffDiving,2526.0,2628.0,video_validation_0000162,2548.21152
Diving,2526.0,2628.0,video_validation_0000162,2568.27423
CliffDiving,2637.0,2721.0,video_validation_0000162,2643.60666
Diving,2637.0,2721.0,video_validation_0000162,2664.73326
CliffDiving,2751.0,2838.0,video_validation_0000162,2754.15375
Diving,2751.0,2838.0,video_validation_0000162,2780.72019
CliffDiving,3264.0,3384.0,video_validation_0000162,3285.17307
Diving,3264.0,3384.0,video_validation_0000162,3309.4734000000003
CliffDiving,3462.0,3546.0,video_validation_0000162,3473.84493
Diving,3462.0,3546.0,video_validation_0000162,3502.77069
CliffDiving,3564.0,3660.0,video_validation_0000162,3577.2621599999998
Diving,3564.0,3660.0,video_validation_0000162,3601.28016
CliffDiving,3678.0,3762.0,video_validation_0000162,3694.42623
Diving,3678.0,3762.0,video_validation_0000162,3718.7358
CliffDiving,3783.0,3969.0000000000005,video_validation_0000162,3795.24924
Diving,3783.0,3969.0000000000005,video_validation_0000162,3826.03134
CliffDiving,4305.0,4401.0,video_validation_0000162,4322.15946
Diving,4305.0,4401.0,video_validation_0000162,4338.14076
CliffDiving,4446.0,4539.0,video_validation_0000162,4462.96551
Diving,4446.0,4539.0,video_validation_0000162,4481.53287
CliffDiving,4575.0,4653.0,video_validation_0000162,4609.9056
